,review
14,"This is a nice, authentic sushi joint just off of Castro street. We really enjoyed it. I would say it is a great place if you are coming for fresh delicious sushi but if you're getting an entree you can probably find better. My husband got the sushi sampler and that is the way to go - for $22ish they give you a large plate of pieces from multiple rolls. I tried the combo meal with teriyaki chicken and gyoza and the chicken was pretty good but I wouldn't rave about the gyoza. Very quick service. They seemed to want to flip the tables quick so not the best place if you're wanting to hang and socialize. Overall happy with this find."
15,"So I really want to love this place since it has so much hype and I was so excited to try it out. The quality of fish is great and the price is reasonable, but the major issue to this supposedly perfect meal was -- the rice just didn't taste right. Everyone in our table agreed that it lacks that familiar hint of sweetness which vinegar sushi rice is supposed to taste like. If you have sushi a lot you'll know the exact flavor I'm referring to. The rice here just tastes bland and salted with the vinegar flavor, and unfortunately that throws the whole flavor off. I hope it's just a miss and not the norm that their sushi rice tastes like this, since it's only my first time here so idk if the quality is consistent. If this is how their sushi rice always tastes like I really hope they can improve their rice recipe, so the fresh quality of fish is not compromised."
16,"I got seated pretty quickly I went after work so I didn't have to wait. The sashimi dinner came with rice, miso soup, and a salad. It was delicious. The tomi roll was scrumptious too -- I got hamachi. I would recommend this place. The roll was killer!"
17,"Our favorite sushi place since we've moved to the Bay Area 4 years ago. This was a go-to when we lived in Mountain View, and now that we live in south San Jose we still make our way out here to get the best sushi! Pro tip: come early close to their opening (5pm) to avoid a long wait. We always start off with miso soups and side salad. Their dressing is light and fresh, and goes well with the veggies.We always order the Tomi Special, BBQ eel roll, and the Dragon roll. Tomi special (5/5) - My husbands favorite thing here. It's a spicy tuna roll with avocado, with hamachi and salmon. You get a choice of the seared fish on top and we always choose sake. They torch the top so there is a nice sear, and they add a touch of micro greens and onions along with a creamy spicy mayo sauce. BBQ eel and dragon roll (5/5) - both are solid choices if you enjoy eel. The Dragon roll only has 4 pieces but they're decent sized pieces with plenty of eel and avocado, and it's pretty filling. Honestly, all of their rolls are good and you won't go wrong because of the quality and freshness of their fish. The most reliable and delicious sushi place we've been to!"
18,"Went to this place on accident while trying to route to Tomi Sushi in Santa Clara, but it turned out to be a pleasant surprise! My friend and I both ordered the sashimi lunch, and it was so fresh and tasty. There were about 9 pieces I believe, and each piece was a very decent size and the entire meal was very filling! The lunch came with a side of soup and a small salad, with some sort of mayo-based sauce. We also ordered a couple of small rolls which were delicious as well. Looks like I finally found a good sushi place in the Bay Area. I definitely would come again!"
19,"We used to come here before they remodeled but haven't had a chance to come by since they reopened but we stopped by today and was really disappointed. The fish quality has gone down a lot and the service left something to be desired. We ordered a number of rolls, some tempura, nigiri, and yakitori. The rolls and nigiri came out decently quick and as we started eating, noticed a small hair on one of the rolls. We informed our waiter and pointed to where it was and at first couldn't spot it but then started giving us a side glance as if it was ours. There was no apology and he instead said he would take it to the chef to look at. He came back and said that he would give us a new roll and gave a really half assed apology. The tempura came out about 10 mins after the sushi but there was no sign of the yakitori. The replacement roll came out and still no yakitori. Then as we were almost done, one of the nearby tables that sat down halfway through our service was given their yakitori and the waiter came by a few minutes later and asked if we received our yet. I replied that we didn't need it anymore since we were almost done eating and he says that it's done and he will bring it out. The waiter had asked when I placed the order if we wanted it with salt or teriyaki and I said teriyaki since our kids are with us and they would like it better. We got the salt one instead. All in all, it's left us with a pretty bad impression. I don't know if they lost their chef or changed owners, but this isn't the Sushi Tomi that I remember and I don't think we'll be back."
20,"We love this place and come here every week or so. Out of all of the sushi in Mountain View, this is the highest quality one and they have a great selection of other non-sushi items as well. It does get busy so be sure to come early or as we have been doing, ordering ahead early. Their phone lines stay busy so be a little patient when calling!"
21,"I got the Extra Special Sushi, which came with a miso soup. It was $33 and came with 8 pieces of premium sushi and a negi toro roll, which I felt like was good value. I especially liked the toro, salmon, and sweet shrimp. The fish was thick and tasted fresh. The other pieces were pretty standard. However, they ran out of uni the day I went, and I asked if I could get double of something else in the original set, but was told no and that they can only give me a crab nigiri. There was very little crab, and it was definitely not worth the price of a piece of uni."
22,Had dinner with a friend here at the bar area. i had the nigiri special and i loved it! The fish are thick cuts and cured perfectly and the rice perfectly balanced. The atmosphere near the sushi making section feels much like a sushi house in Japan. The service is also on point - but do note this probably isn't a place you can hang for a long time slowly over drinks. They get pretty busy
23,"Sadly, we will no longer be ordering food from Tomi sushi despite having been coming here as customers for years. I am not sure if they sold the business to a new owner, but this last visit was so disappointing that we have decided not to return. To start, my 10 year old's favorite dish is the Nabeyaki udon. The restaurant told us they no longer will serve udons for take out due to a new law in Mountain View prohibiting single use containers for take out. Despite this claim they put the rest of our food in the same single use container the udon was served in. Huh?! Not only was this a ridiculous claim given they put all the other food in the same container, but all the other surrounding restaurants will serve soup for take out without any mention of this ""so-called"" law. So what gives? We decided to order anyway and give them the benefit of the doubt. Once we arrived we noticed that they didn't include the miso soups that usually come with the dinners. When we went to tell them they forgot the soups they told us they put miso paste in the bag and we would have to make it ourselves by adding hot water at home. Come again?! So basically we are paying for a dinner we have to make ourselves at home? Fast forward to when we got home. They basically put two packets of paste and seaweed with no instructions in English into the bag (see photos attached). The packages were in Japanese and no one informed us how much water to use so we just eyeballed it. Needless to say it wasn't great. Lastly, and this is the most important issue. The food quality has definitely dropped significantly. I was going to give the restaurant two stars until we tasted the food. With the exception of the shrimp in the super chirachl bowl, the rest of the fish was smaller in portion and tasted bland compared to before. Our 10 year old ended up getting the beef teriyaki which was chewy and gross. For the amount of money we dropped on this place for take out, the service and food should have been way better. Be forewarned before you decide to go. This place has really gone downhill."
24,Always loved Sushi Tomi! food is delicious every single time I go anddd the wait time isn't as bad bc it goes by pretty fast.
25,"My go to sushi spot in the bay. Great value for the quality of fish. My favourite thing is the extra special chirashi, never disappoints.The appetizers here are also top notch, i always get the shishamo tempura."
26,"I have been her for a business dinner. Will say the food was for free and this review is not emotional biased.The sushi is very fresh, and the service was quick.The busy hours are really busy and you will wait, which is probably standard these days for better places.The only downside but still not so bad to lower to 4 stars is that the fresh wasabi didn't hit the sweet spot. It felt like that it was not worth the money compared to the standard wasabi which comes with the regular dishes... but that was our impression, maybe we do not know what we are talking about anyway!Ambiance was ok but somewhat crunched. Still not a deal breaker (maybe if you are a heavier person!?)."
27,"Went here with some friends, and as you know usually not everyone can arrive at the same time. I arrived first, and the waitstaff made me wait outside for my friends. I understand why they don't seat people right away, but I wish I was invited inside because it is getting colder in the evenings. Food was great, got the special chirashi dinner and the customizable assorted sashimi dinner to share. Only tuna option was maguro, no albacore or hamachi the day we went. Wonderful food, average service, price average. If you just want good food, casual dining and don't have a huge party, this is a great place."
28,"Food was good, as usual.  Finally had a chance to eat in the restaurant for dinner.  Service was very attentive.  The rolls were good as well as the chicken teriyaki and mixed tempura.  The combination comes with salad, soup and rice.  So come with a decent appetite."
29,"Have been here several times and has been consistent.  Now that our old standby Japanese restaurant is closed, Sushi Tomi has taken over that honor.  It's a super busy place and plan for parking around busy downtown Mountain View.  Portions are generous and food is very good at this local favorite."
30,"Ridiculous wait time followed by slow, awful service. Blah food at premium prices. So disappointing"
31,"amazing sushi, great service. crowded, always so plan ahead! Highly recommend all of their rolls, ordering takeout is also good option."
32,"Love the extra special chirachi bowl - great value considering you get tons of fish, ebi, uni and other chefs special. Agedashi tofu and tempura were ok. The nigiris, especially salmon and otoro, are excellent too! My girlfriend loves the mix don which comes with salmon, tuna and yellowfish- excellent choice if you like these the most!We come here often so it's great that the fishes vary in the chirashi bowl. One con is that there is usually a 45 min wait on saturday and sunday"
33,"Love the extra special chirachi bowl - great value considering you get tons of fish, ebi, uni and other chefs special. Agedashi tofu and tempura were okay"
34,Chirashi bowl was excellent!!! Very nice quality with a range of fish and other raw seafood.
35,"Extra special chirashi bowl was one of the best chirashi bowl's I've ever had! I normally don't care too much for sweet shrimp, and will eat it if it comes with my food but theirs was so good I am now a fan and would definitely order it again there! Everything on the chirashi bowl tasted so fresh and amazing. Definitely easier to get a table when it's just a couple people eating. I imagine large groups would have to wait a long time. Service was pleasant and they seem to genuinely care."
36,"Extra special chirashi bowl was one of the best chirashi bowl's I've ever had! I normally don't care too much for sweet shrimp, and will eat it if it comes with my food but theirs was so good I am now a fan and would definitely order it again there! Everything on the chirashi bowl tasted so fresh and amazing. Definitely easier to get a table when it's just a couple people eating. I imagine large groups would have to wait a long time."
37,"""This is the best fresh fish tuna,"" says my hungry, sushi-lovin' companion. It apparently passed his HAPA test (half Japanese). He keeps talking about coming back here. Like I live right around the corner so I don't know why he keeps telling me.I ordered the Bento box with tempura (shrimp and veggies) along with the salmon teriyaki. I could see that the other table was ""eyeing"" our food and had ordered the tempura after they saw what we got. Some tips:- Wait is a LONG time like at least 1-2 hours during meal times. Put your name down and walk around downtown. - Might want to consider take out. The place is small. - Parking on the street or in the surrounding neighborhood.- Always choose either bar or table to shorten your wait time.If my companion has anything to do with it, we'll be back."
38,"Busy, its food is ok. It used to lot better. Long wait and service is all by non Japanese :)"
39,"** Great South Bay sushi option with a homey feel. Extensive menu at a relatively fair price point.Sushi Tomi is definitely my current go-to in the Bay Area for Japanese food. My favorite item is their Tomi roll with Hamachi, and they have all the classic rolls and nigiri as well. They have quite a long sushi menu with pretty much whatever you could want and think of. Fish is overall fresh tasting and gets the job done. Of the items I've tried the Tomi roll is the more unique item, and everything else tastes as expected in a good way. Outside of sushi, their chicken katsu is also something I've ordered multiple times. I'd say the price point is overall solid - if you get several items of sushi it'll add up but especially compared to other Bay Area spots its definitely not the worst.I'm a huge matcha lover and their green tea is really solid considering that its complimentary. Definitely on the higher end of teas that I've had come included in a Japanese restaurant; I always end up getting multiple refills before the end of the meal.The interior is a bit smaller and there is a waitlist sheet to put your name down on. Typically this place can get busy, so expect to have a wait especially for dinner even on weekday nights. Don't forget to grab a lollipop on way out!"
40,"I would like to give this place a 4.5 stars, the tuna was okay. I did round up. I came here for a Valentine's dinner. We got here a little after 5pm. We got lucky with parking because the parking lot across the street wasn't packed like it usually is. We walked to the the restaurant and signed in. The wait was less than 5 minutes, I would say. We got a regular sashimi and special sashimi platter. Also, a few nagiris. For the menu, we scanned the QR code. It was separated by  appetizer, lunch, dinner, and drinks. Overall, service was decent and fish was somewhat fresh."
41,"Came by for lunch the other day and it was a mediocre experience. Street parking was plentiful 15 minutes prior to opening on a Friday morning. There was already a line forming and the staff allowed parties where everyone arrived to be seated a few minutes prior to opening.Staff wore a uniform t-shirt and a mask. Menus were available via QR code next to the table along with a paper menu for sushi.Started off with the soup and salad. The salad felt like time travel with simple lettuce and a ton of mayo on the dressing...The soft shell crab had a very thick batter...yikes...The unagi don was also different. Unlike previous visits with fluffy rice, very thick and shiny unagi with a side of egg omelet, the rice was low on sauce and the unagi was no longer super thick as before. Instead of a ton of unagi, there were merely a few slices and tempura vegetables on top?!? The tomi roll with spicy tuna was decent. Minimal rice, spicy tuna on the inside, seared fish on the outside with some thinly sliced purple onions on top.The roll took a while so had to check up with the staff on it. In return, the staff asked if everything was okay and presented us a check at the same time, due to a line out the door?!?~$30/head after tax and gratuity for lunch."
42,"Came by for lunch the other day and it was a tasty meal. Parking is available in the city-owned lot across the street. Street parking is plentiful.Managed to be seated at the bar upon arrival and started off with the miso soup and side salad. Both were okay. The side salad was premade and the dressing was mediocre at best.Both the Tomi roll with spicy tuna and salmon toro nigiri were tasty. Rolls were freshly made with fresh fish. The sauces on the Tomi roll provided a nice contrast to the roll. The toro was quite fatty too!The unagi don was decent. There were 4 huge pieces of fish along with a huge piece of egg omelet. The unagi was decent, although there wasn't enough sauce for the entire bowl of rice. Service was efficient!~$27/head after tax and gratuity for lunch."
43,Came by for dinner the other night and it was decent experience. The line was out the door upon arrival and was rather quick as we opted to sit at the bar.The dining room was a tad warm and our waitress was rather robotic..Started off with the miso soup which was a tad salty. Their side salad was 95% lettuce... The Tomi Sushi roll with spicy tuna was delicious. A tad spicy on the inside with some fresh fish topped off the roll that was slightly charred. Definitely a unique experience!The unagi Don was huge with thick cuts of unagi along with a huge bowl of rice. The sauce was a tad salty on this visit.Their salmon belly nigiri was quite tasty too... Nice and fatty!The tempura shrimps were freshly made and quite tasty. Restaurant seems to cater to the more pedestrian clientele.$35/head after tax and gratuity for dinner.
44,"Came by for lunch the other day and managed to squeeze in at the sushi bar as all the tables were already full! There was this mainland China lady that was rather curt requesting to fill out the sign in sheet, stopping by every 2 minutes attempting to take my order... :(The Tomi Special Roll was tasty as before. Spicy tuna in the middle with a thin layer of sushi rice and a piece of fried seaweed. The roll was topped with some salmon and scallops, lightly seared with a torch, and then finally topped with some purple onions and some sauce. The Spicy Tuna Hand Roll was also tasty and a decent portion. Tuna was nice and spicy too!My rolls were made by a Caucasian sushi kid behind the counter. $25/head after tax and gratuity for a light lunch!Their Bento boxes seem best value but didn't seem too appealing as I saw most items being prepared prior to be being ordered..."
45,"Came by for dinner the other night and it was impressive. Started off with the miso soup and it was slightly better than the one on Moorpark, although a tad salty.Moved on to the Unagi Don which had 4 huge pieces of thick cuts of Unagi. The rice was fluffy and flavorful while the Unagi was excellent. There was also a small piece of the egg too! :)Service was friendly by the staff.~$24 after tax and tip for dinner."
46,"Definitely one of the better, authentic Japanese-owned Japanese restaurants in Mountain View. The restaurant has stayed roughly the same throughout the years with a slight remodel on the inside.The was a slight wait for a seat at the bar.The miso soup and house salad were both okay, nothing too special.The Sushi Tomi roll was okay at $12.90. In hindsight, I would have preferred a non-seared salmon on my roll...but it was still tasty.Also ordered the Salmon Belly Nigiri which was indeed very fatty and tasty. At $6.40 for a couple pieces, it was definitely on the pricier side.At ~$27 a person, definitely on the higher end of prices for a casual Japanese restaurant."
47,"We made a reservation for a party of 3 for 6:45 pm on a Saturday night a couple hours ahead of time. We arrived on time and were seated quickly. Some of us ordered the Sushi Tomi Special which consisted of a lobster salad on the inside with scallops on the outside, quite delicious. I topped off my meal with a spicy tuna hand roll and a soup and salad. The waitress gave us some grilled salmon which was ""on the house"", apparently to every table seated that evening...nice touch.Our tab came out to be ~$27/person. The sushi, salad, and soup were all very fresh, definitely will return again soon! :D"
48,"Authentic place for sushi (their sushi chefs are always real Japanese sushi chef, at least whenever I went). Their rolls were honestly okay, but their always my trusted place to get sashimi and freshly cut fish.This was the first place I tried Hamachi kama and it was delicious! I've always ordered it ever since.Make sure to try their agedashi tofu too!"
49,"a neighbor favorite of mountain view, rarely seen without a line out the door. sushi tomi offers a staple selection or nigiri and sashimi, with a couple or simple rolls as well. they also have a wide sampling of fried and broiled appetizers, as well as bento dinners. but this is best a place for sushi lovers. the service can be a little slow since they are often packed but the quality is never lacking"
50,I moved to MV from SF and I'm a really big foodie person. I'm always looking for new sushi spots to try since I'm a bit far from my go to spot in the city. Found this sushi spot in downtown MV and I would recommend this place! It's not too pricey and the food is good. I recommend trying the Tomi Special if you like a lil kick to your rolls. The Extra Special Nirigi comes with 8pcs. There was supposed to be Uni but it's not in season so it wasn't available. I was a bit bummed by that but the food is great! Tip: come here close to opening time at 5pm because it does get pretty busy later on. Glad we came right when they opened.
51,"The freshest sushi you can get in the bay area. I usually get take out and the sushi taste amazingly freshly prepared.  I hate that sushi is so expensive, but if you want to splurge, this is the place to get the best tasting and freshest sushi consistently in the bay area. I'm sure service isn't top notch, but nothing beats the food quality. Go and try, your pocket book will not be happy, but your stomach will be."
52,"The very best sushi in Silicon Valley. Everything is fresh. Even though it's busy, the service is fantastic. It's one of the greatest places to have Japanese food."
53,"I swear to God you will never eat a California Roll more delicious than this - anywhere on this planet (I qualified this, because there may other sushi places in the universe, of which I have yet to try).  Tuna was fantastic, too  Wait service - unbelievably attentive, even as busy as it always is.  You will have to wait for all the Google people and Facebook people (probably Apple, too) to finish - they cause huge wait times because this place is extremely popular in Silicon Valley.  Everything is fresh and delicious.  But please try their California Rolls.  PS - when you eat there, you will understand the long wait times."
54,Favorite casual sushi in the Bay. I didn't love the bento special of the day (I think lots of people would like it but a lot of the protein was either bony or fatty) so am going to stick with the sushi from here on out.
55,"A great place for dinner and always packed, but the service is fast and the line moves very quickly. We enjoy dining here when we want a combination of sushi as well as other Japanese entrees. If you only want sushi, they do not have many of the fancy rolls you find at other sushi restaurants. But the quality of the fish is good and the sushi chefs fulfill the orders at a very fast rate. Always reliable, reasonable wait time and great service."
56,"My bf and I stopped by for dinner on a Friday night around 7:30 and waited about 30 minutes for a table. Service was wonderful, they had an omakase dinner for $90 that came with three appetizers, one chef's choice and the other two you can pick from a small list. We originally wanted to order agadeshi tofu and takoyaki as our appetizers but the waitress said that those items were inexpensive and that it would be cheaper to order those a La carte. We sat there struggling to pick so she recommended the grilled squid and offered to do a kanpachi kama which was not on the list of choices. We also got a few nigiris on top of the omakase since we were sharing. We were so surprised when our appetizers came, they were GIGANTIC. The grilled squid could have easily fed 4 or more and they have us the ENTIRE fish head and collar. Both were excellent and I would definitely order them again. They also gave us and the table next to us a fried shrimp head. Overall we had a wonderful experience as first time diners, the fish was fresh, service was great, and we left with full bellies."
57,"The beef tongue is quite tough and have a weird small. It does not seems to be fresh.All the nigiri are greats. Uni is fresh and sweet. We also ordered Toro , white tuna, fatty tuna. All good.I always love the futomaki roll, but I found this little secrect in their roll. There are characters with good meaning on top of the sweet egg piece. Just so cute and love it!The service is good, but the wait could be long since it is a small and popular place."
58,"Sushi tomi continues to be my favorite South Bay sushi restaurant. I've been here multiple times and love the homey feel. Since there are no reservations- get there early, put your name down on their waitlist, and wait outside until your table is ready. My absolute favorite item is their special roll with hamachi (salmon is good too). Their nigiri is always consistent, but they can be heavy handed with the wasabi so request light/no wasabi if that's your preference. For entrees, I've tried a bunch- tonkatsu, tempura, donburis- you really can't go wrong!"
59,Best Sunday bento! Wonderful service. Fresh and consistently high-quality seafood. Arigatou gozaimasu!
60,"The sushi and sashimi dishes at this restaurant are consistently good every time we went there, probably one of the best in the area. There can be wait if you don't show up early enough."
61,I come to Sushi Tomi often. Sushi is very fresh here and the service is also good. I normally avoid coming here around noon time because it is very busy. You have to wait for a long time. Either 11:30 am or 1:00 pm is good time time to come.
62,"Sunday lunch is crowded, every table was full. The menu is long and they provided different lunch combos. We ordered the white tuna don, the special sushi, salmon hand roll and amaebi nigiri. The sashimi is very fresh, just a bit disappointed by the special sushi nigiri combo, I was expecting better choice of fish and tops. Staff were really busy and running around but did get everything correct for the order. The people sitting next to us were a bit noisy that day."
63,"My husband and I had a nice evening out (kid free) and we came across this place. Definitely on my list to visit again if I'm in the area. We ordered tempura shrimp and veggies, tomi special roll with hamachi to share. The tempura was nice and crispy. But the Tomi sushi roll was what really stood out for us. It was stuffed with hamachi and topped with more hamachi and scallops. Garnished with microgreens and red onions.  Omg, drool! It was soooo good!!  My husband got the bento box with tonkatsu and beef sukiyaki (+$3). OMG we have never tried beef sukiyaki and the broth was heavenly and so heart-warming! Well worth the extra $3 because that in itself was a full entree. I got the extra special chirashi bowl. Amazing!! And it came with a fried shrimp head which I wasn't expecting when it came out shortly after.  I gave my husband tuna sashimi to try but honestly didn't want to share. I only did because it was so fresh and delicious. I had to share the experience with him! Ahaha Of course we enjoyed all this food with some hot sake.Always a plus-- waitress was friendly and attentive. Checking in on us and filling water glasses without us asking. Love that!  She also gave us an extra bowl of miso soup!  Many reasons to come back!!!"
64,"The sushi chef and waitress helped me save money. I ordered 8 pieces of salmon nigiri, and they come out and tell me if I order salmon Don, it will also have 8 pieces of salmon and come with even more rice. And a bowl of miso soup is also included in the Don. And it's less expensive lol.Nice place. They're really busy but they still spend the time explaining things like this to me and help me save money. Unbelievable.Oysters are really good too. Definitely will bring all my friends here.Ambiance makes me feel like I'm in Japan. A lot of people speaking Japanese in the restaurant. That's how you know it's authentic Japanese food."
65,"Popped in to place a to go order. After paying $80 plus tip I was hoping to sit down 10 min & have a tea since plenty of seating was available at the sushi bar area & other tables. The hostess snapped wait outside & come back in 15 min. I woulda loved a green tea @ the bar after a rough morning. But was kicked out rudely. Plus, my son got sick after eating it. Was warm sushi."
66,"One of my favorite sushi places. This is not your pedestrian sushi... it's artisan sushi with specialty fish. You can never go wrong with omakase. Today we opted for the sushi but you can also get omakase sashimi. I love the variety and presentation. We also ordered the sushi tomi special roll... it's salmon and scallops on the outside and your choice of salmon, hamachi, and spicy tuna on the inside. The outside is torched with a delicious Smoky aroma. Delicious!"
67,"It has been years since I had a chance to visit.   I came to meet an ex-colleague for lunch.   I had the chirashi lunch entree.   Very fresh sushi!   Since, I came I see the front of the building had been redone and modernized. Great place if you want authentic Japanese sushi."
68,"Been meaning to try this place out and finally got to! Was a little worried as we drove by with all the people waiting out front, but the wait ended up not being too bad at all, for a wednesday night. We ordered the extra special chirashi bowl, the extra special nigiri, and the tomi roll with hamachi. Both came with miso soup and the fried shrimp head from our sweet shrimp. We also got a free braised tuna app! Loved loved loved all the food! We definitely didnt need the extra roll, but definitely worth the food coma now! This is def gonna be a new go to for sushi! Will have to try out some of the lunch/dinner combos in the future!"
69,Ordered take out on a Friday and came picked up around dinner time. There was quite a lot of people in the waitlist and I'm glad that takeout is more efficient. I got the regular sashimi (their salmon sashimi is the best!) and a Tomi special roll with spicy tuna (also very delicious). Next time I'm looking forward to have the fish liver and unagi Don!
70,"Went here on a Saturday evening and waited for about 20min. We ordered the special Chirashi, Ochazuke, beef tongue and hamachi special roll. All were very tasty, especially the Ochazuke and special roll. Some of the beef tongue was hard to chew (wish it's is smaller pieces). I like how the menu has a verity of choices and the prices are reasonable."
71,"Castro street can be quite underwhelming for it being THE street of Mountain View. I'd say Sushi Tomi is a decent place to go when in town. It's very popular even on a weekday, yet the service is quick and efficient. Food is pretty standard -- I wish the agedashi tofu was a bit crispier. The chirashi was pretty good as well, nothing out of the water though."
